 X ,YCOO, ZCOO ,SCAL
  3.400000000000000E-005 ,  5.450000000000000E-005 , 0,  4.416405722343464E-003
  3.400000000000000E-005 ,  6.549999999999999E-005 , 0,  4.708832881112420E-003
  3.400000000000000E-005 ,  8.150000000000000E-005 , 0,  3.935336458851897E-003
  3.400000000000000E-005 ,  1.050000000000000E-004 , 0,  8.546517439433711E-004
  3.400000000000000E-005 ,  1.400000000000000E-004 , 0,  3.013043628103811E-005
  3.400000000000000E-005 ,  1.955000000000000E-004 , 0,  1.686936810170375E-005
  3.400000000000000E-005 ,  2.650000000000000E-004 , 0,  1.694644513561510E-005
  3.800000000000000E-005 ,  2.000000000000000E-006 , 0,  9.631436553763172E-008
  3.800000000000000E-005 ,  6.000000000000000E-006 , 0,  1.098991936470784E-006
  3.800000000000000E-005 ,  9.999999999999999E-006 , 0,  1.901726596353586E-006
  3.800000000000000E-005 ,  1.400000000000000E-005 , 0,  2.694460215725304E-006
  3.800000000000000E-005 ,  1.800000000000000E-005 , 0,  3.493629894969387E-006
  3.800000000000000E-005 ,  2.200000000000000E-005 , 0,  4.283777101638382E-006
  3.800000000000000E-005 ,  2.600000000000000E-005 , 0,  4.871383025969659E-005
  3.800000000000000E-005 ,  3.000000000000000E-005 , 0,  1.126266886358031E-003
  3.800000000000000E-005 ,  3.400000000000000E-005 , 0,  2.788811442104858E-003
  3.800000000000000E-005 ,  3.800000000000000E-005 , 0,  3.766532533848203E-003
  3.800000000000000E-005 ,  4.200000000000000E-005 , 0,  4.414777306206328E-003
  3.800000000000000E-005 ,  4.700000000000000E-005 , 0,  5.034990860390491E-003
  3.800000000000000E-005 ,  5.450000000000000E-005 , 0,  5.785085126970311E-003
  3.800000000000000E-005 ,  6.549999999999999E-005 , 0,  6.661092501302958E-003
  3.800000000000000E-005 ,  8.150000000000000E-005 , 0,  7.386555068821058E-003
  3.800000000000000E-005 ,  1.050000000000000E-004 , 0,  6.875579677659653E-003
  3.800000000000000E-005 ,  1.400000000000000E-004 , 0,  3.286840219408763E-003
  3.800000000000000E-005 ,  1.955000000000000E-004 , 0,  6.728127812687114E-004
  3.800000000000000E-005 ,  2.650000000000000E-004 , 0,  2.485359303225504E-004
  4.200000000000000E-005 ,  2.000000000000000E-006 , 0,  1.038003566999279E-007
  4.200000000000000E-005 ,  6.000000000000000E-006 , 0,  1.209406231184145E-006
  4.200000000000000E-005 ,  9.999999999999999E-006 , 0,  2.088760687538201E-006
  4.200000000000000E-005 ,  1.400000000000000E-005 , 0,  2.964763079874587E-006
  4.200000000000000E-005 ,  1.800000000000000E-005 , 0,  3.837860268303877E-006
  4.200000000000000E-005 ,  2.200000000000000E-005 , 0,  4.719467655912733E-006
  4.200000000000000E-005 ,  2.600000000000000E-005 , 0,  1.015548273394837E-004
  4.200000000000000E-005 ,  3.000000000000000E-005 , 0,  1.805687325813665E-003
  4.200000000000000E-005 ,  3.400000000000000E-005 , 0,  3.434034259017474E-003
  4.200000000000000E-005 ,  3.800000000000000E-005 , 0,  4.414967048457624E-003
  4.200000000000000E-005 ,  4.200000000000000E-005 , 0,  5.117683476537620E-003
  4.200000000000000E-005 ,  4.700000000000000E-005 , 0,  5.838893896046985E-003
  4.200000000000000E-005 ,  5.450000000000000E-005 , 0,  6.779418376610358E-003
  4.200000000000000E-005 ,  6.549999999999999E-005 , 0,  7.979870957571255E-003
  4.200000000000000E-005 ,  8.150000000000000E-005 , 0,  9.310061255267352E-003
  4.200000000000000E-005 ,  1.050000000000000E-004 , 0,  1.013553771088038E-002
  4.200000000000000E-005 ,  1.400000000000000E-004 , 0,  9.654437441747404E-003
  4.200000000000000E-005 ,  1.955000000000000E-004 , 0,  8.431041081480949E-003
  4.200000000000000E-005 ,  2.650000000000000E-004 , 0,  7.886145387747723E-003
  4.700000000000000E-005 ,  2.000000000000000E-006 , 0,  1.128195469619445E-007
  4.700000000000000E-005 ,  6.000000000000000E-006 , 0,  1.343515973537164E-006
  4.700000000000000E-005 ,  9.999999999999999E-006 , 0,  2.320211143103923E-006
  4.700000000000000E-005 ,  1.400000000000000E-005 , 0,  3.290654631114796E-006
  4.700000000000000E-005 ,  1.800000000000000E-005 , 0,  4.262584509181636E-006
  4.700000000000000E-005 ,  2.200000000000000E-005 , 0,  5.238790387107279E-006
  4.700000000000000E-005 ,  2.600000000000000E-005 , 0,  1.424556398541948E-004
  4.700000000000000E-005 ,  3.000000000000000E-005 , 0,  2.195563382321666E-003
